k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;U;d_H;d_B;d_t;d_ro;d_ri
KP-20X10X1.2;D;20×10;1.2;20×10×1,2;20 × 10;0.49;0.63;0.29;0.09;0.29;0.19;0.68;0.39;0.056;20;10;1.2;2.4;1.2
KP-20X10X1.5;D;20×10;1.5;20×10×1,5;20 × 10;0.59;0.75;0.33;0.11;0.33;0.21;0.66;0.37;0.055;20;10;1.5;3.0;1.5
KP-20X10X2;D;20×10;2;20×10×2;20 × 10;0.74;0.94;0.37;0.12;0.37;0.23;0.63;0.35;0.053;20;10;2;4;2
KP-30X15X1.2;D;30×15;1.2;30×15×1,2;30 × 15;0.77;0.99;1.09;0.36;0.72;0.49;1.05;0.61;0.086;30;15;1.2;2.4;1.2
KP-30X15X1.5;D;30×15;1.5;30×15×1,5;30 × 15;0.94;1.2;1.28;0.42;0.85;0.57;1.03;0.59;0.085;30;15;1.5;3.0;1.5
KP-30X15X2;D;30×15;2;30×15×2;30 × 15;1.21;1.54;1.54;0.5;1.03;0.67;1.0;0.57;0.083;30;15;2;4;2
KP-30X15X2.5;D;30×15;2.5;30×15×2,5;30 × 15;1.44;1.84;1.73;0.56;1.16;0.74;0.97;0.55;0.081;30;15;2.5;5.0;2.5
KP-30X15X3;D;30×15;3;30×15×3;30 × 15;1.65;2.11;1.86;0.59;1.24;0.78;0.94;0.53;0.08;30;15;3;6;3
KP-30X20X1.2;D;30×20;1.2;30×20×1,2;30 × 20;0.87;1.11;1.34;0.71;0.89;0.71;1.1;0.8;0.096;30;20;1.2;2.4;1.2
KP-30X20X1.5;D;30×20;1.5;30×20×1,5;30 × 20;1.06;1.35;1.59;0.84;1.06;0.84;1.08;0.79;0.095;30;20;1.5;3.0;1.5
KP-30X20X2;D;30×20;2;30×20×2;30 × 20;1.36;1.74;1.94;1.02;1.29;1.02;1.06;0.77;0.093;30;20;2;4;2
KP-30X20X2.5;D;30×20;2.5;30×20×2,5;30 × 20;1.64;2.09;2.21;1.15;1.47;1.15;1.03;0.74;0.091;30;20;2.5;5.0;2.5
KP-30X20X3;D;30×20;3;30×20×3;30 × 20;1.89;2.41;2.41;1.25;1.6;1.25;1.0;0.72;0.09;30;20;3;6;3
KP-40X10X1.5;D;40×10;1.5;40×10×1,5;40 × 10;1.06;1.35;2.15;0.21;1.08;0.43;1.26;0.4;0.095;40;10;1.5;3.0;1.5
KP-40X10X2;D;40×10;2;40×10×2;40 × 10;1.36;1.74;2.6;0.25;1.3;0.49;1.22;0.38;0.093;40;10;2;4;2
KP-40X10X2.5;D;40×10;2.5;40×10×2,5;40 × 10;1.64;2.09;2.93;0.26;1.47;0.53;1.19;0.36;0.091;40;10;2.5;5.0;2.5
KP-40X15X1.5;D;40×15;1.5;40×15×1,5;40 × 15;1.18;1.5;2.71;0.56;1.35;0.75;1.34;0.61;0.105;40;15;1.5;3.0;1.5
KP-40X15X2;D;40×15;2;40×15×2;40 × 15;1.52;1.94;3.33;0.67;1.66;0.9;1.31;0.59;0.103;40;15;2;4;2
KP-40X15X2.5;D;40×15;2.5;40×15×2,5;40 × 15;1.84;2.34;3.81;0.75;1.91;1.01;1.28;0.57;0.101;40;15;2.5;5.0;2.5
KP-40X15X3;D;40×15;3;40×15×3;40 × 15;2.13;2.71;4.18;0.81;2.09;1.08;1.24;0.55;0.1;40;15;3;6;3
KP-40X20X1.5;D;40×20;1.5;40×20×1,5;40 × 20;1.3;1.65;3.27;1.1;1.63;1.1;1.41;0.81;0.115;40;20;1.5;3.0;1.5
KP-40X20X2;D;40×20;2;40×20×2;40 × 20;1.68;2.14;4.05;1.34;2.02;1.34;1.38;0.79;0.113;40;20;2;4;2
KP-40X20X2.5;D;40×20;2.5;40×20×2,5;40 × 20;2.03;2.59;4.69;1.54;2.35;1.54;1.35;0.77;0.111;40;20;2.5;5.0;2.5
KP-40X20X3;D;40×20;3;40×20×3;40 × 20;2.36;3.01;5.21;1.68;2.6;1.68;1.32;0.75;0.11;40;20;3;6;3
KP-40X20X4;D;40×20;4;40×20×4;40 × 20;2.94;3.75;5.87;1.86;2.93;1.86;1.25;0.7;0.106;40;20;4;8;4
KP-40X30X1.5;D;40×30;1.5;40×30×1,5;40 × 30;1.53;1.95;4.38;2.81;2.19;1.87;1.5;1.2;0.135;40;30;1.5;3.0;1.5
KP-40X30X2;D;40×30;2;40×30×2;40 × 30;1.99;2.54;5.49;3.51;2.75;2.34;1.47;1.18;0.133;40;30;2;4;2
KP-40X30X2.5;D;40×30;2.5;40×30×2,5;40 × 30;2.42;3.09;6.45;4.1;3.23;2.74;1.45;1.15;0.131;40;30;2.5;5.0;2.5
KP-40X30X3;D;40×30;3;40×30×3;40 × 30;2.83;3.61;7.26;4.6;3.63;3.07;1.42;1.13;0.13;40;30;3;6;3
KP-40X30X4;D;40×30;4;40×30×4;40 × 30;3.57;4.55;8.47;5.33;4.24;3.55;1.36;1.08;0.126;40;30;4;8;4
KP-50X20X1.5;D;50×20;1.5;50×20×1,5;50 × 20;1.53;1.95;5.77;1.35;2.31;1.35;1.72;0.83;0.135;50;20;1.5;3.0;1.5
KP-50X20X2;D;50×20;2;50×20×2;50 × 20;1.99;2.54;7.23;1.67;2.89;1.67;1.69;0.81;0.133;50;20;2;4;2
KP-50X20X2.5;D;50×20;2.5;50×20×2,5;50 × 20;2.42;3.09;8.47;1.92;3.39;1.92;1.66;0.79;0.131;50;20;2.5;5.0;2.5
KP-50X20X3;D;50×20;3;50×20×3;50 × 20;2.83;3.61;9.51;2.12;3.8;2.12;1.62;0.77;0.13;50;20;3;6;3
KP-50X20X4;D;50×20;4;50×20×4;50 × 20;3.57;4.55;11.01;2.38;4.4;2.38;1.56;0.72;0.126;50;20;4;8;4
KP-50X25X1.5;D;50×25;1.5;50×25×1,5;50 × 25;1.65;2.1;6.65;2.25;2.66;1.8;1.78;1.04;0.145;50;25;1.5;3.0;1.5
KP-50X25X2;D;50×25;2;50×25×2;50 × 25;2.15;2.74;8.38;2.81;3.35;2.25;1.75;1.01;0.143;50;25;2;4;2
KP-50X25X2.5;D;50×25;2.5;50×25×2,5;50 × 25;2.62;3.34;9.89;3.28;3.95;2.62;1.72;0.99;0.141;50;25;2.5;5.0;2.5
KP-50X25X3;D;50×25;3;50×25×3;50 × 25;3.07;3.91;11.17;3.67;4.47;2.93;1.69;0.97;0.14;50;25;3;6;3
KP-50X25X4;D;50×25;4;50×25×4;50 × 25;3.88;4.95;13.13;4.23;5.25;3.38;1.63;0.92;0.136;50;25;4;8;4
KP-50X30X1.5;D;50×30;1.5;50×30×1,5;50 × 30;1.77;2.25;7.54;3.42;3.01;2.28;1.83;1.23;0.155;50;30;1.5;3.0;1.5
KP-50X30X2;D;50×30;2;50×30×2;50 × 30;2.31;2.94;9.54;4.29;3.81;2.86;1.8;1.21;0.153;50;30;2;4;2
KP-50X30X2.5;D;50×30;2.5;50×30×2,5;50 × 30;2.82;3.59;11.3;5.05;4.52;3.37;1.77;1.19;0.151;50;30;2.5;5.0;2.5
KP-50X30X3;D;50×30;3;50×30×3;50 × 30;3.3;4.21;12.83;5.7;5.13;3.8;1.75;1.16;0.15;50;30;3;6;3
KP-50X30X4;D;50×30;4;50×30×4;50 × 30;4.2;5.35;15.25;6.69;6.1;4.46;1.69;1.12;0.146;50;30;4;8;4
KP-60X20X2;D;60×20;2;60×20×2;60 × 20;2.31;2.94;11.68;1.99;3.89;1.99;1.99;0.82;0.153;60;20;2;4;2
KP-60X20X2.5;D;60×20;2.5;60×20×2,5;60 × 20;2.82;3.59;13.8;2.31;4.6;2.31;1.96;0.8;0.151;60;20;2.5;5.0;2.5
KP-60X20X3;D;60×20;3;60×20×3;60 × 20;3.3;4.21;15.62;2.56;5.21;2.56;1.93;0.78;0.15;60;20;3;6;3
KP-60X20X4;D;60×20;4;60×20×4;60 × 20;4.2;5.35;18.42;2.9;6.14;2.9;1.86;0.74;0.146;60;20;4;8;4
KP-60X20X5;D;60×20;5;60×20×5;60 × 20;4.99;6.36;20.16;3.07;6.72;3.07;1.78;0.69;0.143;60;20;5;10;5
KP-60X30X2;D;60×30;2;60×30×2;60 × 30;2.62;3.34;15.05;5.08;5.02;3.39;2.12;1.23;0.173;60;30;2;4;2
