k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;iv;ey;ex;U;d_a;d_b;d_t;d_r
L-80X60X7;N;80×60;7;L 80×60×7;80 × 60;7.35;9.37;59.14;28.49;10.78;6.37;2.51;1.74;1.28;2.52;1.53;0.28;80;60;7;7.2
L-80X60X8;N;80×60;8;L 80×60×8;80 × 60;8.33;10.62;66.42;31.9;12.2;7.19;2.5;1.73;1.28;2.56;1.57;0.28;80;60;8;7.2
L-100X50X6;N;100×50;6;L 100×50×6;100 × 50;6.82;8.68;90.18;15.58;13.93;3.95;3.22;1.34;1.07;3.53;1.05;0.3;100;50;6;6.3
L-100X50X8;N;100×50;8;L 100×50×8;100 × 50;8.95;11.4;116.5;19.85;18.24;5.13;3.2;1.32;1.06;3.61;1.13;0.3;100;50;8;6.3
L-100X50X10;N;100×50;10;L 100×50×10;100 × 50;11.02;14.04;141.09;23.73;22.37;6.26;3.17;1.3;1.06;3.69;1.21;0.3;100;50;10;6.3
L-100X65X7;N;100×65;7;L 100×65×7;100 × 65;8.74;11.13;113.05;38.0;16.75;7.63;3.19;1.85;1.41;3.25;1.52;0.33;100;65;7;8.1
L-100X65X8;N;100×65;8;L 100×65×8;100 × 65;9.91;12.63;127.35;42.64;18.99;8.64;3.18;1.84;1.41;3.29;1.56;0.33;100;65;8;8.1
L-100X65X10;N;100×65;10;L 100×65×10;100 × 65;12.22;15.57;154.61;51.39;23.33;10.57;3.15;1.82;1.4;3.37;1.64;0.33;100;65;10;8.1
L-100X75X8;N;100×75;8;L 100×75×8;100 × 75;10.56;13.45;133.39;64.36;19.37;11.45;3.15;2.19;1.61;3.11;1.88;0.35;100;75;8;9.0
L-100X75X10;N;100×75;10;L 100×75×10;100 × 75;13.02;16.59;162.16;77.88;23.83;14.05;3.13;2.17;1.6;3.19;1.96;0.35;100;75;10;9.0
L-100X75X12;N;100×75;12;L 100×75×12;100 × 75;15.42;19.65;189.19;90.44;28.12;16.55;3.1;2.15;1.59;3.27;2.03;0.35;100;75;12;9.0
L-120X80X8;N;120×80;8;L 120×80×8;120 × 80;12.13;15.45;226.58;81.49;27.81;13.31;3.83;2.3;1.74;3.85;1.88;0.4;120;80;8;9.0
