stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-40X10X1.5;Dikdörtgen;40×10×1,5;40;10;1.5;1.06;1.35;2.15;0.21;1.08;0.43;1.26;0.4;0.095;6.37;12.74
KP-40X10X2;Dikdörtgen;40×10×2;40;10;2;1.36;1.74;2.6;0.25;1.3;0.49;1.22;0.38;0.093;8.18;16.36
KP-40X10X2.5;Dikdörtgen;40×10×2,5;40;10;2.5;1.64;2.09;2.93;0.26;1.47;0.53;1.19;0.36;0.091;9.84;19.68
KP-40X15X1.5;Dikdörtgen;40×15×1,5;40;15;1.5;1.18;1.5;2.71;0.56;1.35;0.75;1.34;0.61;0.105;7.07;14.15
KP-40X15X2;Dikdörtgen;40×15×2;40;15;2;1.52;1.94;3.33;0.67;1.66;0.9;1.31;0.59;0.103;9.12;18.25
KP-40X15X2.5;Dikdörtgen;40×15×2,5;40;15;2.5;1.84;2.34;3.81;0.75;1.91;1.01;1.28;0.57;0.101;11.02;22.03
KP-40X15X3;Dikdörtgen;40×15×3;40;15;3;2.13;2.71;4.18;0.81;2.09;1.08;1.24;0.55;0.1;12.76;25.51
KP-40X20X1.5;Dikdörtgen;40×20×1,5;40;20;1.5;1.3;1.65;3.27;1.1;1.63;1.1;1.41;0.81;0.115;7.78;15.56
KP-40X20X2;Dikdörtgen;40×20×2;40;20;2;1.68;2.14;4.05;1.34;2.02;1.34;1.38;0.79;0.113;10.07;20.13
KP-40X20X2.5;Dikdörtgen;40×20×2,5;40;20;2.5;2.03;2.59;4.69;1.54;2.35;1.54;1.35;0.77;0.111;12.19;24.39
KP-40X20X3;Dikdörtgen;40×20×3;40;20;3;2.36;3.01;5.21;1.68;2.6;1.68;1.32;0.75;0.11;14.17;28.34
KP-40X20X4;Dikdörtgen;40×20×4;40;20;4;2.94;3.75;5.87;1.86;2.93;1.86;1.25;0.7;0.106;17.65;35.31
KP-40X30X1.5;Dikdörtgen;40×30×1,5;40;30;1.5;1.53;1.95;4.38;2.81;2.19;1.87;1.5;1.2;0.135;9.19;18.39
KP-40X30X2;Dikdörtgen;40×30×2;40;30;2;1.99;2.54;5.49;3.51;2.75;2.34;1.47;1.18;0.133;11.95;23.9
KP-40X30X2.5;Dikdörtgen;40×30×2,5;40;30;2.5;2.42;3.09;6.45;4.1;3.23;2.74;1.45;1.15;0.131;14.55;29.1
KP-40X30X3;Dikdörtgen;40×30×3;40;30;3;2.83;3.61;7.27;4.6;3.63;3.07;1.42;1.13;0.13;16.99;33.99
KP-40X30X4;Dikdörtgen;40×30×4;40;30;4;3.57;4.55;8.47;5.33;4.24;3.55;1.36;1.08;0.126;21.42;42.84
KP-50X20X1.5;Dikdörtgen;50×20×1,5;50;20;1.5;1.53;1.95;5.77;1.35;2.31;1.35;1.72;0.83;0.135;9.19;18.39
KP-50X20X2;Dikdörtgen;50×20×2;50;20;2;1.99;2.54;7.23;1.67;2.89;1.67;1.69;0.81;0.133;11.95;23.9
